Acoustic transmitter,Movement number,Station,Tidal,Arrival,Departure,Time spent
1,51,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-17T07:09:59Z,2005-07-17T07:09:59Z,0
2,1,"Thames Meadow, u/s of Walton Bridge",0,2005-04-05T07:37:54Z,2005-04-05T19:57:51Z,0.513854166666667
2,2,"Felix Lane, Shepperton Marinas",0,2005-04-05T20:43:42Z,2005-04-06T00:10:07Z,0.143344907407407
2,3,"Thames Meadow, u/s of Walton Bridge",0,2005-04-06T02:00:11Z,2005-04-08T03:02:17Z,2.043125
2,4,"Hambhaugh Island, Weybridge Lock",0,2005-04-08T04:45:45Z,2005-04-10T23:20:23Z,2.77405092592593
2,5,"Thames Meadow, u/s of Walton Bridge",0,2005-04-11T00:35:47Z,2005-04-11T01:06:26Z,0.0212847222222222
2,6,"Felix Lane, Shepperton Marinas",0,2005-04-11T01:26:18Z,2005-04-11T09:21:17Z,0.329849537037037
2,7,"Thames Meadow, u/s of Walton Bridge",0,2005-04-11T10:00:01Z,2005-04-11T17:37:08Z,0.31744212962963
2,8,"Hambhaugh Island, Weybridge Lock",0,2005-04-11T22:00:17Z,2005-04-13T01:45:10Z,1.15616898148148
2,9,"Thames Meadow, u/s of Walton Bridge",0,2005-04-13T03:18:49Z,2005-04-13T14:54:51Z,0.483356481481482
2,10,"Felix Lane, Shepperton Marinas",0,2005-04-13T15:40:48Z,2005-04-13T18:03:11Z,0.0988773148148148
2,11,"Thames Meadow, u/s of Walton Bridge",0,2005-04-13T18:39:43Z,2005-04-13T21:11:53Z,0.105671296296296
2,12,"Hambhaugh Island, Weybridge Lock",0,2005-04-13T23:01:46Z,2005-04-14T02:05:21Z,0.127488425925926
2,13,"Thames Meadow, u/s of Walton Bridge",0,2005-04-14T03:18:48Z,2005-04-14T19:44:46Z,0.684699074074074
2,14,"Felix Lane, Shepperton Marinas",0,2005-04-14T20:10:24Z,2005-04-15T02:35:29Z,0.267418981481482
2,15,"Thames Meadow, u/s of Walton Bridge",0,2005-04-15T03:12:57Z,2005-04-15T03:52:47Z,0.027662037037037
2,16,"Hambhaugh Island, Weybridge Lock",0,2005-04-15T05:04:19Z,2005-04-16T03:17:03Z,0.925509259259259
2,17,"Thames Meadow, u/s of Walton Bridge",0,2005-04-16T06:16:00Z,2005-04-16T10:17:28Z,0.167685185185185
2,18,"Felix Lane, Shepperton Marinas",0,2005-04-16T10:54:46Z,2005-04-16T11:24:32Z,0.0206712962962963
2,19,"Thames Meadow, u/s of Walton Bridge",0,2005-04-16T12:10:06Z,2005-04-16T19:09:45Z,0.291423611111111
2,20,"Felix Lane, Shepperton Marinas",0,2005-04-16T19:29:09Z,2005-04-17T01:31:48Z,0.251840277777778
2,21,"Thames Meadow, u/s of Walton Bridge",0,2005-04-17T02:15:57Z,2005-04-17T05:43:04Z,0.143831018518519
2,22,"Hambhaugh Island, Weybridge Lock",0,2005-04-17T06:52:21Z,2005-04-17T21:36:31Z,0.61400462962963
2,23,"Thames Meadow, u/s of Walton Bridge",0,2005-04-17T22:05:05Z,2005-04-17T22:24:40Z,0.013599537037037
2,24,"Felix Lane, Shepperton Marinas",0,2005-04-17T22:42:59Z,2005-04-20T16:28:54Z,2.74021990740741
2,25,"Thames Meadow, u/s of Walton Bridge",0,2005-04-20T17:29:26Z,2005-04-20T20:41:00Z,0.133032407407407
2,26,"Hambhaugh Island, Weybridge Lock",0,2005-04-22T01:28:08Z,2005-04-22T02:25:34Z,0.0398842592592593
2,27,"Thames Meadow, u/s of Walton Bridge",0,2005-04-22T04:42:27Z,2005-04-25T22:05:07Z,3.72407407407407
2,28,"Hambhaugh Island, Weybridge Lock",0,2005-05-01T00:28:09Z,2005-05-01T02:25:31Z,0.0815046296296296
2,29,"Thames Meadow, u/s of Walton Bridge",0,2005-05-01T03:11:51Z,2005-05-04T21:02:50Z,3.74373842592593
2,30,"Hambhaugh Island, Weybridge Lock",0,2005-05-04T22:49:32Z,2005-05-06T05:26:41Z,1.27579861111111
2,31,"Thames Meadow, u/s of Walton Bridge",0,2005-05-06T06:27:15Z,2005-05-20T02:00:25Z,13.8146990740741
2,32,"Gibbs Marina, Shepperton",0,2005-05-20T03:03:12Z,2005-05-23T23:07:03Z,3.83600694444444
2,33,"Hambhaugh Island, Weybridge Lock",0,2005-05-24T00:22:48Z,2005-05-24T05:14:54Z,0.202847222222222
2,34,"Thames Meadow, u/s of Walton Bridge",0,2005-05-24T06:00:02Z,2005-05-28T22:02:35Z,4.6684375
2,35,"Hambhaugh Island, Weybridge Lock",0,2005-05-28T23:20:11Z,2005-05-29T04:26:48Z,0.212928240740741
2,36,"Thames Meadow, u/s of Walton Bridge",0,2005-05-29T08:03:20Z,2005-05-29T22:32:48Z,0.603796296296296
2,37,"Gibbs Marina, Shepperton",0,2005-05-30T00:26:23Z,2005-05-30T00:57:21Z,0.0215046296296296
2,38,"Thames Meadow, u/s of Walton Bridge",0,2005-05-30T09:44:06Z,2005-06-05T22:25:14Z,6.52856481481482
2,39,"Hambhaugh Island, Weybridge Lock",0,2005-06-05T23:49:10Z,2005-06-06T01:49:09Z,0.0833217592592593
2,40,"Thames Meadow, u/s of Walton Bridge",0,2005-06-06T03:43:21Z,2005-06-07T22:28:25Z,1.7812962962963
2,41,"Hambhaugh Island, Weybridge Lock",0,2005-06-07T23:30:09Z,2005-06-08T00:24:21Z,0.0376388888888889
2,42,"Thames Meadow, u/s of Walton Bridge",0,2005-06-08T01:45:29Z,2005-06-09T22:21:37Z,1.85842592592593
2,43,"Hambhaugh Island, Weybridge Lock",0,2005-06-09T23:14:14Z,2005-06-10T02:47:32Z,0.148125
2,44,"Thames Meadow, u/s of Walton Bridge",0,2005-06-10T03:35:12Z,2005-06-12T22:34:50Z,2.79141203703704
2,45,"Hambhaugh Island, Weybridge Lock",0,2005-06-12T23:45:43Z,2005-06-13T01:31:00Z,0.0731134259259259
2,46,"Thames Meadow, u/s of Walton Bridge",0,2005-06-13T03:28:47Z,2005-06-13T22:08:06Z,0.777303240740741
2,47,"Hambhaugh Island, Weybridge Lock",0,2005-06-13T22:49:20Z,2005-06-14T02:35:56Z,0.157361111111111
2,48,"Gibbs Marina, Shepperton",0,2005-06-14T03:47:26Z,2005-06-14T04:26:03Z,0.0268171296296296
2,49,"Thames Meadow, u/s of Walton Bridge",0,2005-06-14T06:33:25Z,2005-06-14T22:02:49Z,0.645416666666667
2,50,"Hambhaugh Island, Weybridge Lock",0,2005-06-14T23:03:59Z,2005-06-16T01:44:11Z,1.11125
2,51,"Thames Meadow, u/s of Walton Bridge",0,2005-06-16T02:26:06Z,2005-06-23T20:10:36Z,7.73923611111111
2,52,"Hambhaugh Island, Weybridge Lock",0,2005-06-23T21:10:54Z,2005-06-27T01:00:49Z,3.15966435185185
2,53,"Thames Meadow, u/s of Walton Bridge",0,2005-06-27T02:12:28Z,2005-06-27T04:51:12Z,0.110231481481482
2,54,"Hambhaugh Island, Weybridge Lock",0,2005-06-27T05:32:42Z,2005-10-26T04:57:58Z,120.97587962963
2,55,"Thames Meadow, u/s of Walton Bridge",0,2005-10-26T08:13:37Z,2005-10-27T10:02:05Z,1.07532407407407
2,56,"Hambhaugh Island, Weybridge Lock",0,2005-10-27T11:03:44Z,2005-11-07T17:18:02Z,11.2599305555556
26,1,"Strawberry Vale, Teddington",0,2005-05-16T20:20:05Z,2005-05-21T17:12:38Z,4.86982638888889
26,2,"Thames Path, Kew Bridge",1,2005-05-23T20:35:42Z,2005-08-22T19:12:09Z,90.9419791666667
26,3,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-23T04:57:38Z,2005-08-23T04:59:54Z,0.00157407407407407
26,4,"Strawberry Vale, Teddington",0,2005-08-23T07:20:22Z,2005-08-28T00:14:20Z,4.70414351851852
26,5,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-28T06:30:10Z,2005-08-30T09:22:33Z,2.11971064814815
26,6,"Strawberry Vale, Teddington",0,2005-08-30T15:13:54Z,2005-08-30T23:03:50Z,0.326342592592593
26,7,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-31T04:43:44Z,2005-08-31T10:27:09Z,0.238483796296296
26,8,"Strawberry Vale, Teddington",0,2005-08-31T14:41:42Z,2005-08-31T16:09:41Z,0.061099537037037
26,9,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-31T21:27:08Z,2005-09-02T01:54:35Z,1.18572916666667
26,10,"Strawberry Vale, Teddington",0,2005-09-02T11:55:34Z,2005-09-03T11:15:09Z,0.97193287037037
26,11,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-09-03T16:47:01Z,2005-09-04T13:25:57Z,0.86037037037037
26,12,"Strawberry Vale, Teddington",0,2005-09-05T03:38:47Z,2005-10-31T01:36:59Z,55.9154166666667
27,1,"Strawberry Vale, Teddington",0,2005-05-21T16:51:02Z,2005-06-11T21:44:25Z,21.2037384259259
27,2,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-06-12T01:46:24Z,2005-06-12T17:07:56Z,0.639953703703704
27,3,"Strawberry Vale, Teddington",0,2005-06-12T23:49:37Z,2005-06-13T00:00:53Z,0.00782407407407407
27,4,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-06-13T03:50:59Z,2005-06-13T19:36:08Z,0.656354166666667
27,5,"Thames Path, Kew Bridge",1,2005-06-14T09:48:37Z,2005-06-14T17:01:08Z,0.300358796296296
27,6,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-06-14T19:29:19Z,2005-06-14T19:31:43Z,0.00166666666666667
27,7,"Thames Path, Kew Bridge",1,2005-06-15T02:42:09Z,2005-06-15T06:23:55Z,0.15400462962963
27,8,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-06-15T08:57:57Z,2005-06-15T09:31:37Z,0.0233796296296296
27,9,"Thames Path, Kew Bridge",1,2005-06-15T13:17:33Z,2005-06-24T14:59:35Z,9.07085648148148
27,10,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-06-24T16:40:40Z,2005-06-24T17:55:02Z,0.0516435185185185
27,11,"Strawberry Vale, Teddington",0,2005-06-24T21:00:21Z,2005-06-26T15:47:17Z,1.78259259259259
27,12,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-06-27T00:30:39Z,2005-06-29T16:55:22Z,2.68383101851852
27,13,"Strawberry Vale, Teddington",0,2005-06-29T20:41:26Z,2005-07-01T01:31:32Z,1.20145833333333
27,14,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-01T09:26:54Z,2005-07-01T18:34:23Z,0.380196759259259
27,15,"Strawberry Vale, Teddington",0,2005-07-02T04:54:31Z,2005-07-02T05:04:42Z,0.00707175925925926
27,16,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-02T16:48:35Z,2005-07-05T17:33:02Z,3.03086805555556
27,17,"Strawberry Vale, Teddington",0,2005-07-05T22:18:57Z,2005-07-06T03:07:27Z,0.200347222222222
27,18,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-06T11:58:54Z,2005-07-06T13:01:27Z,0.0434375
27,19,"Strawberry Vale, Teddington",0,2005-07-06T20:53:31Z,2005-07-08T07:20:06Z,1.43512731481482
27,20,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-08T12:01:39Z,2005-07-09T13:54:18Z,1.07822916666667
27,21,"Thames Path, Kew Bridge",1,2005-07-09T19:34:50Z,2005-07-09T19:39:13Z,0.00304398148148148
27,22,"Chiswick Pier, Corney Reach Way",1,2005-07-09T22:25:29Z,2005-07-10T04:31:42Z,0.25431712962963
27,23,"Thames Path, Kew Bridge",1,2005-07-10T08:46:29Z,2005-07-10T15:43:30Z,0.289594907407407
27,24,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-11T04:56:26Z,2005-07-11T04:58:50Z,0.00166666666666667
27,25,"Thames Path, Kew Bridge",1,2005-07-11T11:43:15Z,2005-07-13T17:04:19Z,2.22296296296296
27,26,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-14T00:10:34Z,2005-07-14T06:54:07Z,0.280243055555556
27,27,"Thames Path, Kew Bridge",1,2005-07-14T10:59:58Z,2005-07-14T11:18:03Z,0.0125578703703704
27,28,"Chiswick Pier, Corney Reach Way",1,2005-07-14T14:40:00Z,2005-07-15T06:45:24Z,0.670416666666667
27,29,"Thames Path, Kew Bridge",1,2005-07-15T17:15:10Z,2005-07-17T01:38:28Z,1.34951388888889
27,30,"Chiswick Pier, Corney Reach Way",1,2005-07-17T03:23:28Z,2005-07-24T02:44:13Z,6.97274305555556
27,31,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-24T04:55:13Z,2005-07-24T04:56:20Z,0.000775462962962963
27,32,"Strawberry Vale, Teddington",0,2005-07-24T20:26:06Z,2005-07-28T00:48:00Z,3.181875
27,33,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-28T06:27:24Z,2005-07-28T06:29:35Z,0.0015162037037037
27,34,"Strawberry Vale, Teddington",0,2005-07-28T18:10:29Z,2005-07-30T02:03:01Z,1.32814814814815
27,35,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-30T13:40:58Z,2005-07-30T21:24:11Z,0.321678240740741
27,36,"Strawberry Vale, Teddington",0,2005-07-31T05:00:53Z,2005-08-01T23:07:57Z,1.75490740740741
27,37,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-02T06:22:20Z,2005-08-03T01:12:58Z,0.785162037037037
27,38,"Strawberry Vale, Teddington",0,2005-08-03T02:44:46Z,2005-08-03T03:45:51Z,0.0424189814814815
27,39,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-03T08:13:10Z,2005-08-03T11:14:27Z,0.125891203703704
27,40,"Thames Path, Kew Bridge",1,2005-08-03T18:01:40Z,2005-08-03T18:49:33Z,0.0332523148148148
27,41,"Chiswick Pier, Corney Reach Way",1,2005-08-03T21:36:31Z,2005-08-04T00:06:55Z,0.104444444444444
27,42,"Thames Path, Kew Bridge",1,2005-08-04T12:53:57Z,2005-08-04T12:56:46Z,0.00195601851851852
27,43,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-04T18:02:00Z,2005-08-04T18:27:44Z,0.0178703703703704
27,44,"Strawberry Vale, Teddington",0,2005-08-04T21:48:18Z,2005-08-05T07:34:10Z,0.406851851851852
27,45,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-05T11:25:01Z,2005-08-05T15:04:44Z,0.152581018518519
27,46,"Strawberry Vale, Teddington",0,2005-08-05T18:50:51Z,2005-08-06T23:19:11Z,1.18634259259259
27,47,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-07T03:16:48Z,2005-08-07T03:54:43Z,0.0263310185185185
27,48,"Strawberry Vale, Teddington",0,2005-08-07T11:43:31Z,2005-08-08T20:58:31Z,1.38541666666667
27,49,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-09T02:51:59Z,2005-08-12T18:02:05Z,3.63201388888889
27,50,"Strawberry Vale, Teddington",0,2005-08-13T05:30:13Z,2005-08-16T02:57:31Z,2.89395833333333
27,51,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-16T05:46:54Z,2005-08-17T13:57:05Z,1.34040509259259
27,52,"Strawberry Vale, Teddington",0,2005-08-17T18:08:44Z,2005-08-25T06:03:24Z,7.4962962962963
27,53,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-25T13:34:18Z,2005-08-26T18:42:27Z,1.21399305555556
27,54,"Strawberry Vale, Teddington",0,2005-08-27T00:58:08Z,2005-08-27T05:17:20Z,0.18
27,55,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-27T11:25:08Z,2005-09-02T22:43:59Z,6.47142361111111
27,56,"Strawberry Vale, Teddington",0,2005-09-03T05:45:17Z,2005-09-03T23:56:58Z,0.758113425925926
27,57,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-09-04T08:36:17Z,2005-09-04T14:36:49Z,0.25037037037037
27,58,"Strawberry Vale, Teddington",0,2005-09-05T02:04:01Z,2005-09-29T02:59:02Z,24.0382060185185
3,1,"Strawberry Vale, Teddington",0,2005-05-05T13:58:28Z,2005-05-23T12:48:11Z,17.9511921296296
3,2,"Thames Path, Kew Bridge",1,2005-05-24T21:21:39Z,2005-05-25T13:48:12Z,0.685104166666667
3,3,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-05-27T00:32:55Z,2005-05-27T04:04:38Z,0.147025462962963
3,4,"Strawberry Vale, Teddington",0,2005-05-27T21:27:49Z,2005-05-28T04:27:54Z,0.291724537037037
3,5,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-05-29T00:55:25Z,2005-05-29T21:28:16Z,0.856145833333333
3,6,"Thames Path, Kew Bridge",1,2005-05-31T02:35:16Z,2005-05-31T03:51:24Z,0.0528703703703704
3,7,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-05-31T11:58:26Z,2005-06-01T11:35:47Z,0.984270833333333
3,8,"Strawberry Vale, Teddington",0,2005-06-01T15:56:18Z,2005-06-02T17:19:22Z,1.05768518518519
3,9,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-06-02T21:50:57Z,2005-06-03T01:54:00Z,0.168784722222222
3,10,"Strawberry Vale, Teddington",0,2005-06-03T12:47:22Z,2005-06-28T00:40:02Z,24.4949074074074
3,11,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-06-28T11:51:17Z,2005-09-05T10:46:48Z,68.9552199074074
